ek,c,s
847,611,362
848,612,363
849,613,
850,,
851,615,364
852,616,365
853,s753,366
854,618,367
855,622,
856,,
857,,
858,,
859,,
860,621,
861,,
862,,
863,627,390
864,624,391
865,626,
866,628,392
867,629,393
868,631,
869,630,
870,632,
871,633,394
872,,
873,634,
874,636,
875,,
876,639,
877,648,395
878,,
879,,
880,640,396
881,,
882,,397
883,,
884,,
885,637,398
886,638,399
887,642,
888,,
889,646,400
890,644,401
891,,
892,645,
893,s917,402
894,647,403
895,,
896,,
897,,
898,,
899,,
900,,
901,,
902,,
903,s851,
904,s802,405
905,,
906,,
907,650,
908,654,406
909,653,407
910,655,408
911,657,409
912,659,410
913,656,411
914,658,412
915,,
916,,
917,,413
918,663,
919,,
920,s852,
921,s853,414
922,665,415
923,666,416
924,,
925,662,417
926,,
927,,
928,,
929,,
930,668,418
931,,
932,,
933,669,
934,,
935,740,
936,741,423
937,742,424
938,743,425
939,,
940,,
941,745,426
942,746,427
943,747,428
944,748,429
945,750,430
946,749,
947,751,431
948,764,433
949,763,434
950,,
951,,
952,,
953,,
954,,435
955,,
956,755,436
957,,
958,758,438
959,760,
960,756,439
961,,
962,759,440
963,,
964,,
965,765,441
966,766,442
967,,443
968,,
969,,444
970,767,445
971,769,450
972,768,451
973,772,452
974,771,
975,774,454
976,775,455
977,s916,
978,777,456
979,776,
980,778,457
981,779,458
982,,
983,,
984,204,
985,780,
986,671,460
987,672,
988,677,
989,673,
990,674,
991,676,461
992,,
993,675,
994,680,462
995,,
996,,
997,682,
998,683,463
999,681,464
1000,679,
1001,,
1002,,465
1003,235,466
1004,,467
1005,685,468
1006,686,469
1007,688,470
1008,684,471
1009,687,472
1010,s854,473
1011,133,
1012,,
1013,,
1014,695,
1015,694,
1016,,
1017,693,474
1018,,
1019,692,475
1020,704,
1021,705,
1022,,
1023,,
1024,723,476
1025,437,274
1026,,
1027,706,
1028,708,
1029,,
1030,707,
1031,717,
1032,721,
1033,,
1034,709,
1035,,
1036,720,
1037,699,
1038,719,
1039,,
1040,711,477
1041,,
1042,,
1043,722,478
1044,670,
1045,718,479
1046,,
1047,703,
1048,724,481
1049,,
1050,725,482
1051,726,483
1052,728,484
1053,,
1054,730,
1055,,
1056,,
1057,729,
1058,731,485
1059,456,486
1060,732,
1061,733,
1062,727,
1063,,
1064,,
1065,738,487
1066,739,488
1067,,
1068,737,489
1069,698,490
1070,735,
1071,,
1072,,
1073,696,
1074,264,166
1075,,
1076,,
1077,,
1078,,
1079,700,
1080,701,491
1081,s620,32
1082,s32,
1083,s225,45
1084,s302,
1085,s227,
1086,,46
1087,,
1088,,
1089,,
1090,,
1091,,
1092,s29,
1093,,
1094,s2,
1095,s1,61
1096,s515,62
1097,s3,63
1098,s6,64
1099,s7,
1100,s9,
1101,s909,65
1102,s30,
1103,,92
1104,s31,109
1105,s622,
1106,s617,104
1107,s611,105
1108,s621,106
1109,,
1110,s212,107
1111,,
1112,s623,108
1113,s108,124
1114,,
1115,s217,118
1116,s139,125
1117,s101,126
1118,s109,
1119,s110,122
1120,,
1121,,123
1122,s102,136
1123,s140,
1124,s855,
1125,,150
1126,,
1127,s523,162
1128,,
1129,,
1130,s34,
1131,s856,145
1132,s438,
1133,,169
1134,s446,182
1135,s440,
1136,s441,
1137,303,
1138,,
1139,,
1140,,
1141,s116,206
1142,,208
1143,s209,225
1144,s251,
1145,s210,226
1146,,227
1147,,
1148,s215,228
1149,s221,229
1150,s218,230
1151,s216,231
1152,s201,275
1153,s202,276
1154,s301,277
1155,,
1156,s349,
1157,,
1158,275,
1159,s305,278
1160,,
1161,s442,
1162,s254,265
1163,s443,266
1164,s253,245
1165,s245,
1166,,
1167,s247,246
1168,,247
1169,,
1170,s33,248
1171,,279
1172,s133,
1173,,280
1174,s132,281
1175,s255,282
1176,s256,
1177,,
1178,s122,249
1179,,250
1180,s131,251
1181,,252
1182,,
1183,,
1184,,
1185,,
1186,,
1187,,244
1188,s445,
1189,s447,
1190,,
1191,s410,222
1192,,
1193,s141,223
1194,,
1195,,285
1196,s720,286
1197,s444,
1198,s142,292
1199,s448,
1200,s143,
1201,,
1202,,
1203,s449,
1204,,
1205,s423,301
1206,s424,302
1207,,
1208,,
1209,,
1210,s450,
1211,s451,
1212,,324
1213,s144,
1214,s408,317
1215,,
1216,,325
1217,,
1218,s414,
1219,s453,
1220,s534,352
1221,s711,369
1222,s16,370
1223,s506,371
1224,s501,372
1225,s624,
1226,s508,373
1227,,
1228,,
1229,s535,374
1230,s625,
1231,,375
1232,s616,376
1233,s709,
